序号,学科,代码
182,OTORHINOLARYNGOLOGY 耳鼻喉科学,TD
183,PALEONTOLOGY 古生物学,TE
184,PARASITOLOGY 寄生虫学,TI
185,PATHOLOGY 病理学,TM
186,PEDIATRICS 儿科,TQ
187,PERIPHERAL VASCULAR DISEASE 外周血管病,ZD
188,PHARMACOLOGY & PHARMACY 药学,TU
189,PHILOSOPHY 哲学,UA
190,"PHYSICS, APPLIED 物理：应用",UB
191,"PHYSICS, ATOMIC, MOLECULAR & CHEMICAL 物理：原子、分子和化学物理",UH
192,"PHYSICS, CONDENSED MATTER 物理：凝聚态物理",UK
193,"PHYSICS, FLUIDS & PLASMAS 物理：流体与等离子体",UF
194,"PHYSICS, MATHEMATICAL 物理：数学物理",UR
195,"PHYSICS, MULTIDISCIPLINARY 物理：综合",UI
196,"PHYSICS, NUCLEAR 物理：核物理",UN
197,"PHYSICS, PARTICLES & FIELDS 物理：粒子与场物理",UP
198,PHYSIOLOGY 生理学,UM
199,PLANT SCIENCES 植物科学,DE
200,POETRY 诗歌,UT
201,POLITICAL SCIENCE 政治学,UU
202,POLYMER SCIENCE 高分子科学,UY
203,PRIMARY HEALTH CARE 初级卫生保健,ML
204,PSYCHIATRY 精神病学,VE
205,PSYCHOLOGY 心理学,VI
206,"PSYCHOLOGY, APPLIED 心理学：应用",NQ
207,"PSYCHOLOGY, BIOLOGICAL 心理学：生物",BV
208,"PSYCHOLOGY, CLINICAL 心理学：临床",EQ
209,"PSYCHOLOGY, DEVELOPMENTAL 心理学：发育",MY
210,"PSYCHOLOGY, EDUCATIONAL 心理学：教育",HI
211,"PSYCHOLOGY, EXPERIMENTAL 心理学：实验",VX
212,"PSYCHOLOGY, MATHEMATICAL 心理学：数学",VS
213,"PSYCHOLOGY, MULTIDISCIPLINARY 心理学：综合",VJ
214,"PSYCHOLOGY, PSYCHOANALYSIS 心理学：分析",VP
215,"PSYCHOLOGY, SOCIAL 心理学：社会",WQ
216,PUBLIC ADMINISTRATION 公共管理,VM
217,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH 公共卫生、环境卫生与职业卫生",NE
218,QUANTUM SCIENCE & TECHNOLOGY 量子科技,QS
219,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING 核医学",VY
220,REGIONAL & URBAN PLANNING 区域与城市规划,UQ
221,REHABILITATION 康复医学,WC
222,RELIGION 宗教,YI
223,REMOTE SENSING 遥感,SR
224,REPRODUCTIVE BIOLOGY 生殖生物学,WF
225,RESPIRATORY SYSTEM 呼吸系统,WE
226,RHEUMATOLOGY 风湿病学,WH
227,ROBOTICS 机器人学,RB
228,SOCIAL ISSUES 社会问题,WM
229,"SOCIAL SCIENCES, BIOMEDICAL 社会科学：生物医学",WV
230,"SOCIAL SCIENCES, INTERDISCIPLINARY 社会科学：跨领域",WU
231,"SOCIAL SCIENCES, MATHEMATICAL METHODS 社会科学：数理方法",PS
